,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
3004,293200,Sentinel,2014-04-22,5,0,1,0,0,7,0,0,0.0,35000.0,0.0,70,0.6142857142857143,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3093,296210,Brigade E5: New Jagged Union,2014-04-30,5,0,1,0,0,0,0,0,0.0,10000.0,0.0,63,0.6666666666666666,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3365,305070,FIST OF AWESOME,2014-07-03,5,0,0,1,0,57,4,4,0.0,35000.0,0.0,300,0.6133333333333333,7,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
3392,306040,The Howler,2014-07-03,5,0,0,1,0,0,156,169,0.0,350000.0,0.0,2040,0.7862745098039216,20,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0
3473,310110,NS2: Combat,2014-10-31,5,0,0,0,1,4,0,0,0.0,35000.0,0.0,209,0.5358851674641149,8,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3785,319630,Life is Strange - Episode 1,2015-01-29,4,1,0,0,0,60,412,145,0.0,7500000.0,0.0,123130,0.9634857467717047,20,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
3904,323630,Ubinota,2015-03-04,4,0,1,0,0,46,0,0,0.0,75000.0,0.0,186,0.9247311827956989,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4073,329280,Avalon Lords: Dawn Rises,2016-04-28,3,0,1,0,0,21,0,0,0.0,35000.0,0.0,129,0.5813953488372093,6,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4181,332650,The Exiled,2017-02-23,2,1,0,0,0,0,11,11,0.0,35000.0,0.0,440,0.4909090909090909,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4405,339000,Ukrainian Ninja,2014-12-23,5,1,0,0,0,12,55,55,0.0,35000.0,0.0,199,0.5125628140703518,5,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4507,341060,The Lady,2015-01-29,4,1,0,0,0,0,149,159,0.0,75000.0,0.0,183,0.46994535519125685,13,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
4686,345390,King's Quest,2015-07-28,4,0,0,1,0,53,56,56,0.0,350000.0,0.0,1954,0.8879222108495394,17,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4830,348840,UFHO2,2015-06-02,4,0,0,1,0,24,0,0,0.0,35000.0,0.0,16,0.9375,6,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4884,350490,Love And Order,2015-04-10,4,0,1,0,0,6,0,0,0.0,10000.0,0.0,33,0.3333333333333333,7,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
