,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
15024,652000,Quantum Pilot,2017-10-20,2,0,0,0,1,24,0,0,0.79,10000.0,7900.0,8,0.75,4,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15025,652030,Tessa's Ark,2019-02-26,0,1,0,0,0,9,0,0,3.99,10000.0,39900.0,12,0.75,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15026,652040,Children of Apollo,2017-11-09,2,0,0,0,1,1,0,0,2.89,10000.0,28900.0,8,0.625,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15027,652050,The Labyrinth,2017-06-21,2,0,0,1,0,22,0,0,3.99,10000.0,39900.0,17,0.9411764705882353,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15028,652060,Curse of the Great Forest,2017-06-24,2,0,0,1,0,0,0,0,0.79,10000.0,7900.0,1,0.0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15029,652070,Bump+Smack,2017-08-08,2,0,0,1,0,17,0,0,1.69,10000.0,16900.0,4,0.75,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15030,652090,Blockara,2017-06-22,2,0,0,1,0,11,0,0,4.99,10000.0,49900.0,4,0.75,5,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15031,652120,Humble Abode,2017-06-27,2,0,0,1,0,0,0,0,0.79,10000.0,7900.0,4,0.75,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15032,652130,Lupus in Fabula,2017-07-13,2,0,0,1,0,15,0,0,4.99,10000.0,49900.0,7,0.8571428571428571,6,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15033,652140,Echo Nine,2017-11-07,2,0,0,0,1,0,0,0,3.99,10000.0,39900.0,1,1.0,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15034,652150,Oats Studios - Volume 1 Assets,2017-06-14,2,0,0,1,0,0,0,0,0.0,35000.0,0.0,153,0.954248366013072,13,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15035,652160,DC Wonder: Unlimited,2017-06-14,2,0,0,1,0,0,0,0,3.99,10000.0,39900.0,1,1.0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
